Timestamp,UID,Age,Sex,Human Score (4),AI Score(4),Total Score(8),Sex_Encoded,AGE( below and above 24),"Education(above Ug, below UG)"
3/14/2024 20:18:52,82,18-24,Male,1,2,3,1,Under 24,Above UG
3/14/2024 20:23:05,83,18-24,Male,2,1,3,1,Under 24,UG
3/14/2024 20:45:03,84,18-24,Male,0,0,0,1,Under 24,UG
3/14/2024 20:55:14,85,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 20:58:53,86,18-24,Female,2,2,4,2,Under 24,UG
3/14/2024 21:01:01,87,18-24,Male,2,3,5,1,Under 24,UG
3/14/2024 21:03:53,88,18-24,Female,2,2,4,2,Under 24,UG
3/14/2024 21:57:01,89,18-24,Female,3,3,6,2,Under 24,UG
3/14/2024 22:03:52,90,25-45,Female,3,1,4,2,Above 24,Above UG
3/14/2024 22:04:12,91,18-24,Male,4,0,4,1,Under 24,Above UG
3/14/2024 22:06:46,92,18-24,Male,2,1,3,1,Under 24,UG
3/14/2024 22:07:24,93,18-24,Female,3,3,6,2,Under 24,Above UG
3/14/2024 22:19:23,94,18-24,Female,3,2,5,2,Under 24,UG
3/14/2024 22:24:30,95,18-24,Male,2,4,6,1,Under 24,Above UG
3/14/2024 22:28:56,96,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 22:29:39,97,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 22:34:51,98,18-24,Female,3,2,5,2,Under 24,UG
3/14/2024 22:35:14,99,18-24,Male,2,3,5,1,Under 24,UG
3/14/2024 22:39:39,100,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 22:43:37,101,18-24,Male,2,3,5,1,Under 24,UG
3/14/2024 22:49:37,102,18-24,Male,1,1,2,1,Under 24,UG
3/14/2024 22:58:56,103,25-45,Female,1,3,4,2,Above 24,Above UG
3/14/2024 23:22:40,104,18-24,Male,2,3,5,1,Under 24,UG
3/14/2024 23:27:29,105,18-24,Male,4,0,4,1,Under 24,UG
3/14/2024 23:33:42,106,18-24,Male,2,2,4,1,Under 24,UG
3/14/2024 23:45:34,107,above 45,Female,1,1,2,2,Above 24,Above UG
3/15/2024 0:00:58,108,18-24,Male,4,3,7,1,Under 24,UG
3/15/2024 0:01:40,109,18-24,Female,2,0,2,2,Under 24,UG
3/15/2024 0:44:56,110,25-45,Male,1,2,3,1,Above 24,Above UG
3/15/2024 0:48:52,111,18-24,Male,2,4,6,1,Under 24,UG
3/15/2024 1:09:19,112,18-24,Male,2,1,3,1,Under 24,UG
3/15/2024 1:35:07,113,25-45,Male,0,3,3,1,Above 24,Above UG
3/15/2024 1:56:29,114,18-24,Male,2,0,2,1,Under 24,UG
3/15/2024 6:43:33,115,18-24,Male,3,3,6,1,Under 24,UG
3/15/2024 7:55:24,116,18-24,Female,3,4,7,2,Under 24,UG
3/15/2024 8:36:45,117,18-24,Male,1,2,3,1,Under 24,Above UG
3/15/2024 9:34:32,118,18-24,Male,1,1,2,1,Under 24,UG
3/15/2024 9:51:00,119,18-24,Male,4,3,7,1,Under 24,UG
3/15/2024 11:01:28,120,18-24,Female,3,4,7,2,Under 24,UG
3/15/2024 11:09:46,121,18-24,Female,1,2,3,2,Under 24,UG
3/15/2024 11:10:43,122,25-45,Female,3,1,4,2,Above 24,UG
3/15/2024 11:12:54,123,18-24,Female,2,3,5,2,Under 24,UG
3/15/2024 12:29:49,124,18-24,Female,2,1,3,2,Under 24,UG
3/15/2024 13:22:40,125,18-24,Female,1,2,3,2,Under 24,Above UG
3/15/2024 13:48:10,126,18-24,Female,2,2,4,2,Under 24,UG
3/15/2024 15:13:09,127,18-24,Female,3,2,5,2,Under 24,UG
3/15/2024 16:04:57,128,18-24,Male,2,1,3,1,Under 24,Above UG
3/15/2024 16:12:32,129,18-24,Male,2,3,5,1,Under 24,UG
3/15/2024 16:39:25,130,18-24,Female,2,1,3,2,Under 24,UG
3/15/2024 16:44:46,131,25-45,Female,2,4,6,2,Above 24,Above UG
3/15/2024 17:04:54,132,18-24,Male,3,2,5,1,Under 24,UG
3/15/2024 17:13:51,133,18-24,Male,1,2,3,1,Under 24,UG
3/15/2024 18:06:57,134,18-24,Female,2,2,4,2,Under 24,UG
3/15/2024 18:49:52,135,18-24,Male,1,3,4,1,Under 24,UG
3/15/2024 19:49:54,136,18-24,Male,1,1,2,1,Under 24,Above UG
3/15/2024 19:53:04,137,18-24,Female,3,3,6,2,Under 24,UG
3/15/2024 20:45:35,138,18-24,Male,3,3,6,1,Under 24,UG
3/15/2024 21:51:15,139,18-24,Male,3,1,4,1,Under 24,UG
3/15/2024 22:06:17,140,18-24,Female,3,2,5,2,Under 24,UG
3/15/2024 22:11:03,141,18-24,Female,2,2,4,2,Under 24,UG
3/15/2024 22:18:50,142,18-24,Male,2,2,4,1,Under 24,UG
3/15/2024 22:23:39,143,18-24,Female,1,1,2,2,Under 24,UG
3/15/2024 22:34:11,144,18-24,Female,2,1,3,2,Under 24,UG
3/15/2024 22:41:36,145,18-24,Female,4,3,7,2,Under 24,UG
3/15/2024 22:56:35,146,25-45,Male,2,2,4,1,Above 24,Above UG
3/15/2024 23:39:45,147,18-24,Male,2,2,4,1,Under 24,UG
3/16/2024 0:32:03,148,18-24,Male,3,2,5,1,Under 24,UG
3/16/2024 0:48:20,149,18-24,Female,4,4,8,2,Under 24,UG
3/16/2024 1:46:54,150,18-24,Female,3,2,5,2,Under 24,UG
3/16/2024 2:19:18,151,18-24,Female,4,3,7,2,Under 24,UG
3/16/2024 2:31:55,152,18-24,Male,2,2,4,1,Under 24,UG
3/16/2024 5:46:19,153,18-24,Female,2,1,3,2,Under 24,UG
3/16/2024 7:26:18,154,18-24,Male,2,2,4,1,Under 24,UG
3/16/2024 8:00:40,155,18-24,Female,3,2,5,2,Under 24,UG
3/16/2024 9:15:18,156,18-24,Female,3,2,5,2,Under 24,UG
3/16/2024 11:41:20,157,18-24,Female,2,2,4,2,Under 24,UG
3/19/2024 8:43:50,158,18-24,Male,3,2,5,1,Under 24,UG
